eval_id,Inlet pipe angle (inlet 1),Inlet pipe diameter (inlet 1),Inlet pipe diameter (inlet 2),SSIM Index - QoI
85,20.86375973,1.176291302,1.281187792,0.894038697
86,166.0971602,0.678270306,1.447837531,0.904913841
87,201.1601388,0.522109802,0.806249461,0.939870802
88,17.76601608,0.864011537,0.734862469,0.95987866
89,69.3555531,1.050127713,0.707710624,0.971480894
90,160.011265,1.415443123,1.082933267,0.927588923
91,106.9426437,0.54432503,0.554238962,0.968367193
92,65.23553196,0.623847476,0.819581809,0.960663767
93,133.1548163,0.564099519,0.67621549,0.961037961
94,72.55595453,0.992595613,1.336215639,0.922701636
95,115.5268198,1.239257641,0.696497752,0.958315217
96,34.26549018,1.336215639,0.850441901,0.946368609
97,6.187856994,1.374542398,1.465711713,0.846137049
98,124.3256329,0.951779759,1.398982691,0.927374986
99,13.46089904,0.901290348,1.221108246,0.906348161
100,177.0312672,0.60890204,0.720224476,0.948915817
101,32.20355511,1.422688871,0.687735121,0.928366544
102,131.0447188,0.589956762,0.89272509,0.949564389
103,63.29918692,1.145584,1.104346554,0.947138207
104,84.27097307,1.465711713,0.901290348,0.939481671
105,76.44242282,0.839430076,1.041124158,0.944286014
106,37.00525299,0.939794259,1.176291302,0.914182962
107,188.7863652,1.104346554,0.874363578,0.930375003
108,62.02381227,0.667128535,0.839430076,0.961146439
109,52.52705164,1.366157524,0.60890204,0.917448777
110,190.1181914,0.713562124,1.272391121,0.901796595
111,78.61635136,1.294481931,1.48120566,0.91187823
112,195.0413349,0.728367015,0.643879503,0.945376598
113,206.0531885,1.355550027,1.202674335,0.850817274
114,103.4450787,0.738960479,0.795351487,0.968347324
115,166.8412056,1.389427562,0.756255998,0.911071439
116,41.26452784,1.445164536,0.703927763,0.906730862
117,42.82483026,0.529465986,1.269202299,0.905388365
118,192.2430558,0.539965352,1.168346877,0.909441353
119,11.39018206,1.140798721,1.415443123,0.852102249
120,119.8900642,0.643879503,0.623847476,0.971443678
121,175.6052842,1.324990818,1.405324721,0.89431274
122,16.05809445,0.663169001,1.086488767,0.918953041
123,14.38936512,0.507946308,0.813986773,0.956714356
124,35.09699227,1.376436955,0.948246162,0.939830003
125,4.643058483,1.343006034,0.990727062,0.916545826
126,89.95382278,0.977808211,1.428768261,0.924040631
127,0.599572403,0.830264539,1.290938858,0.893526267
128,174.671149,1.253949691,0.936577492,0.904556938
129,18.89092007,1.070905068,1.457905423,0.87719555
130,113.6360733,1.066258304,1.06045815,0.964761981
131,1.668724601,0.78891086,0.713562124,0.957702575
132,105.5103258,1.303715273,0.653350262,0.941817433
133,39.91658114,0.984301338,0.522109802,0.956369794
134,134.5677314,1.214853428,0.837159521,0.965116331
135,10.68609013,1.473696352,0.529465986,0.896196303
136,131.9614454,1.362492602,1.355550027,0.949129735
137,58.59192673,0.568520786,1.473696352,0.886713401
138,185.3126786,1.436993592,1.445164536,0.874374489
139,47.95707304,1.243686407,1.294481931,0.921081848
140,179.6655057,0.734862469,0.906116243,0.938476829
141,183.6539036,0.906116243,1.070905068,0.926096756
142,51.47714368,0.653350262,1.002430123,0.935732889
143,78.22427521,1.405324721,0.576467116,0.910780537
144,178.3376026,0.96850127,0.667128535,0.939669752
145,109.2132334,0.887075199,0.690078958,0.980379624
146,115.6456925,0.534815852,1.305493873,0.907138287
147,153.8117203,1.086488767,0.738960479,0.961481544
148,98.04906444,1.261958405,1.020063016,0.971695345
149,28.89446764,0.512310286,1.022520012,0.93157895
150,64.31238672,0.750128817,1.374542398,0.901076173
151,73.59279929,0.554238962,0.917217906,0.945962632
152,123.162641,1.152867682,0.951779759,0.97537449
153,67.1121798,1.168346877,0.779009175,0.967538777
154,137.9843787,1.290938858,0.502855107,0.925838069
155,157.1638339,0.81064539,0.960563233,0.94397629
156,91.68127335,1.112094337,1.253949691,0.943909544
157,65.93722233,1.207192856,1.187631424,0.94339135
158,152.7974606,0.920224652,0.627719939,0.966621783
159,103.0526829,1.033226811,1.145584,0.950895568
160,109.7292025,1.15706847,1.239257641,0.960774774
161,100.3397243,0.67621549,0.939794259,0.949469472
162,106.7920817,0.845504545,0.855882253,0.96887511
163,202.7994597,1.482444737,0.96850127,0.884309488
164,137.1022132,0.813986773,1.243686407,0.934098216
165,46.24713992,0.882994496,1.366157524,0.90663718
166,17.31611208,0.696497752,1.185569899,0.908645802
167,43.61923104,0.703927763,0.750128817,0.968276738
168,101.7032809,1.041124158,1.362492602,0.928848455
169,87.61576017,1.280020731,1.15706847,0.956234746
