eval_id,Inlet pipe angle (inlet 1),Inlet pipe diameter (inlet 1),Inlet pipe diameter (inlet 2),SSIM Index - QoI
1,170.8144853,0.855882253,1.008533722,0.937874522
2,163.8043535,0.779009175,1.074485015,0.93241652
3,24.58891699,0.806249461,0.512310286,0.959803702
4,201.993048,0.599351237,1.349226679,0.897355241
5,117.6962116,0.819581809,1.492207977,0.906578188
6,118.9142438,1.331767376,0.78891086,0.958507274
7,7.311328898,1.050693774,0.913991512,0.935197437
8,156.1741455,1.221108246,1.482444737,0.890612582
9,94.13169392,1.406975345,0.845504545,0.94494377
10,120.6418532,0.756255998,1.214853428,0.927065122
11,30.2146957,0.928351537,0.882994496,0.949564321
12,88.24717683,0.576467116,1.097784309,0.925457677
13,150.11922,1.461871657,1.207192856,0.939592265
14,39.42437532,1.06045815,0.977808211,0.949037906
15,70.80349933,0.762498175,0.584600077,0.97592943
16,81.28579185,1.232436763,0.599351237,0.938198078
17,172.7042545,1.120160618,0.872496549,0.941860782
18,56.62442866,1.495791403,1.331767376,0.913445894
19,148.5104997,0.655942942,0.678270306,0.958827176
20,122.4159861,1.008533722,0.992595613,0.963597478
21,96.71827887,0.936577492,0.745129256,0.979162906
22,161.5324828,1.322401212,1.303715273,0.906386904
23,2.585160142,0.584600077,1.120160618,0.915070537
24,140.7466121,1.12402247,1.170221962,0.951676306
25,50.18170068,0.917217906,0.887075199,0.955902933
26,111.1554029,1.447837531,1.066258304,0.962567741
27,151.4327317,1.020063016,0.830264539,0.963941088
28,162.2021353,0.948246162,0.539965352,0.960272231
29,168.7802074,1.097784309,1.324990818,0.902423956
30,26.00797004,1.457905423,0.60211096,0.913600103
31,143.9696787,1.074485015,0.589956762,0.973328959
32,60.67128059,1.022520012,0.769640137,0.967188594
33,111.9776303,1.398982691,1.280020731,0.961214405
34,158.3294352,0.795351487,1.12402247,0.926445356
35,204.476234,1.272391121,1.050693774,0.871317498
36,206.3133948,0.769640137,0.81064539,0.931614133
37,140.3528441,0.687735121,0.966900307,0.948123814
38,98.38526663,0.60211096,1.436993592,0.895353284
39,147.5616103,0.502855107,1.406975345,0.898411698
40,164.0494362,1.492207977,1.140798721,0.923550223
41,173.2480719,0.990727062,1.261958405,0.92391636
42,144.4025991,0.8014247,1.322401212,0.926691094
43,53.81375962,0.837159521,1.152867682,0.925168256
